Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-01-28 06:42:16,false,"Chicago Running","4.22","500","00:32:10","157","186","3.3","158","168","7:37","4:27","131","108","1.35","7.8","10.5","277","7:31","432","0.0","424","760","5,070","-9","No","00:01:40.5","5","00:32:02","00:32:10","583","645"
Running,2026-01-27 06:57:41,false,"Chicago Running","4.32","531","00:33:46","163","180","3.4","156","167","7:49","5:07","131","131","1.31","8.0","10.5","283","7:46","410","0.0","402","636","5,276","-11","No","00:02:14.0","5","00:33:40","00:33:46","584","652"
Running,2026-01-21 06:54:17,false,"Chicago Running","5.16","613","00:39:56","161","175","3.6","157","167","7:44","4:22","128","108","1.33","7.9","10.5","279","7:41","411","0.0","405","710","6,276","-13","No","00:01:14.8","6","00:39:50","00:39:56","580","637"
Resort Skiing,2026-01-18 11:47:45,false,"Solitude Mountain Resort Ski","15.32","1,061","03:36:07","101","138","0.5","--","--","7.7","39.5","15,121","15,453","--","--","--","--","--","--","0.0","--","--","--","-10","No","00:05:58.0","14","02:40:17","03:36:07","7,999","10,015"
Running,2026-01-17 16:11:38,false,"Salt Lake County Running","1.24","154","00:10:43","154","164","2.1","150","163","8:40","6:45","200","187","1.23","8.4","10.1","297","8:15","400","0.0","384","541","1,624","-2","No","00:01:49.9","2","00:10:41","00:11:15","8,201","8,386"
Resort Skiing,2026-01-17 11:26:14,false,"Solitude Mountain Resort Ski","16.69","1,288","04:24:22","101","140","0.6","--","--","6.1","39.9","13,711","13,816","--","--","--","--","--","--","0.0","--","--","--","-14","No","00:13:40","11","02:59:13","04:24:22","8,199","10,441"
Running,2026-01-16 16:19:23,false,"Salt Lake County Running","2.29","297","00:19:17","161","174","2.9","151","178","8:26","6:17","272","341","1.25","8.3","10.3","296","8:15","392","0.0","383","549","2,936","-3","No","00:02:43.1","3","00:19:13","00:20:47","7,827","8,179"
Resort Skiing,2026-01-16 14:47:30,false,"Solitude Mountain Resort Ski","5.55","280","01:06:54","91","124","0.3","--","--","8.3","48.6","5,253","5,866","--","--","--","--","--","--","0.0","--","--","--","-2","No","00:07:06.2","6","00:55:11","01:06:54","8,188","10,010"
Resort Skiing,2026-01-16 11:36:46,false,"Solitude Mountain Resort Ski","6.73","466","01:36:53","97","136","0.4","--","--","6.4","41.5","6,125","6,808","--","--","--","--","--","--","0.0","--","--","--","-5","No","00:05:40.2","8","01:08:37","01:36:53","8,000","10,006"
Running,2026-01-15 07:23:55,false,"Chicago Running","2.94","340","00:22:06","155","176","3.0","159","178","7:31","2:48","121","105","1.36","7.8","10.4","275","7:20","468","0.0","425","1,220","3,514","-7","No","00:07:10.3","3","00:22:04","00:22:06","587","652"
